Mean score: 0.75824, Stdev: 0.35152, md: 7, nest: 100, lr: 0.05
Mean score: 0.75591, Stdev: 0.34989, md: 7, nest: 100, lr: 0.1
Mean score: 0.75417, Stdev: 0.34805, md: 7, nest: 100, lr: 0.5
Mean score: 0.76523, Stdev: 0.35976, md: 7, nest: 200, lr: 0.001
Mean score: 0.76397, Stdev: 0.35774, md: 7, nest: 200, lr: 0.01
Mean score: 0.76167, Stdev: 0.35619, md: 7, nest: 200, lr: 0.05
Mean score: 0.75942, Stdev: 0.35466, md: 7, nest: 200, lr: 0.1
Mean score: 0.75788, Stdev: 0.35285, md: 7, nest: 200, lr: 0.5
Mean score: 0.76419, Stdev: 0.35558, md: 7, nest: 500, lr: 0.001
Mean score: 0.76206, Stdev: 0.35409, md: 7, nest: 500, lr: 0.01
Mean score: 0.75989, Stdev: 0.35265, md: 7, nest: 500, lr: 0.05
Mean score: 0.75782, Stdev: 0.35120, md: 7, nest: 500, lr: 0.1
Mean score: 0.75653, Stdev: 0.34946, md: 7, nest: 500, lr: 0.5
Mean score: 0.75850, Stdev: 0.34804, md: 7, nest: 1000, lr: 0.001
Mean score: 0.75648, Stdev: 0.34668, md: 7, nest: 1000, lr: 0.01
Mean score: 0.75451, Stdev: 0.34533, md: 7, nest: 1000, lr: 0.05
Mean score: 0.75266, Stdev: 0.34395, md: 7, nest: 1000, lr: 0.1
Mean score: 0.75151, Stdev: 0.34231, md: 7, nest: 1000, lr: 0.5
Mean score: 0.74965, Stdev: 0.34101, md: 7, nest: 10000, lr: 0.001
Mean score: 0.74787, Stdev: 0.33970, md: 7, nest: 10000, lr: 0.01
Mean score: 0.74625, Stdev: 0.33834, md: 7, nest: 10000, lr: 0.05
Mean score: 0.74468, Stdev: 0.33698, md: 7, nest: 10000, lr: 0.1
Mean score: 0.74368, Stdev: 0.33544, md: 7, nest: 10000, lr: 0.5
Mean score: 0.75408, Stdev: 0.34963, md: 8, nest: 100, lr: 0.001
Mean score: 0.75580, Stdev: 0.34834, md: 8, nest: 100, lr: 0.01
Mean score: 0.75406, Stdev: 0.34709, md: 8, nest: 100, lr: 0.05
Mean score: 0.75234, Stdev: 0.34586, md: 8, nest: 100, lr: 0.1
Mean score: 0.75115, Stdev: 0.34442, md: 8, nest: 100, lr: 0.5
Mean score: 0.75961, Stdev: 0.35359, md: 8, nest: 200, lr: 0.001
Mean score: 0.75863, Stdev: 0.35208, md: 8, nest: 200, lr: 0.01
Mean score: 0.75691, Stdev: 0.35090, md: 8, nest: 200, lr: 0.05
Mean score: 0.75524, Stdev: 0.34972, md: 8, nest: 200, lr: 0.1
Mean score: 0.75417, Stdev: 0.34831, md: 8, nest: 200, lr: 0.5
Mean score: 0.75906, Stdev: 0.35050, md: 8, nest: 500, lr: 0.001
Mean score: 0.75743, Stdev: 0.34936, md: 8, nest: 500, lr: 0.01
Mean score: 1.79398, Stdev: 0.01281, md: 10, nest: 100, lr: 0.001
Mean score: 1.35909, Stdev: 0.43501, md: 10, nest: 100, lr: 0.01
Mean score: 1.10027, Stdev: 0.51005, md: 10, nest: 100, lr: 0.05
Mean score: 0.97120, Stdev: 0.49508, md: 10, nest: 100, lr: 0.1
Mean score: 0.90649, Stdev: 0.46135, md: 10, nest: 100, lr: 0.5
Mean score: 0.87485, Stdev: 0.42707, md: 10, nest: 100, lr: 0.8
Mean score: 0.98509, Stdev: 0.47882, md: 10, nest: 200, lr: 0.001
Mean score: 0.94331, Stdev: 0.46134, md: 10, nest: 200, lr: 0.01
Mean score: 0.90306, Stdev: 0.44961, md: 10, nest: 200, lr: 0.05
Mean score: 0.87142, Stdev: 0.43698, md: 10, nest: 200, lr: 0.1
Mean score: 0.85123, Stdev: 0.42151, md: 10, nest: 200, lr: 0.5
Mean score: 0.84005, Stdev: 0.40528, md: 10, nest: 200, lr: 0.8
Mean score: 0.87492, Stdev: 0.40769, md: 10, nest: 500, lr: 0.001
Mean score: 0.85398, Stdev: 0.40006, md: 10, nest: 500, lr: 0.01
Mean score: 0.83604, Stdev: 0.39229, md: 10, nest: 500, lr: 0.05
Mean score: 0.82075, Stdev: 0.38442, md: 10, nest: 500, lr: 0.1
Mean score: 0.81068, Stdev: 0.37512, md: 10, nest: 500, lr: 0.5
Mean score: 0.80547, Stdev: 0.36519, md: 10, nest: 500, lr: 0.8
Mean score: 0.81185, Stdev: 0.35648, md: 10, nest: 1000, lr: 0.001
Mean score: 0.80024, Stdev: 0.35112, md: 10, nest: 1000, lr: 0.01
Mean score: 0.79012, Stdev: 0.34563, md: 10, nest: 1000, lr: 0.05
Mean score: 0.78117, Stdev: 0.34017, md: 10, nest: 1000, lr: 0.1
Mean score: 0.77544, Stdev: 0.33378, md: 10, nest: 1000, lr: 0.5
Mean score: 0.77301, Stdev: 0.32697, md: 10, nest: 1000, lr: 0.8
Mean score: 0.76525, Stdev: 0.32262, md: 10, nest: 10000, lr: 0.001
Mean score: 0.75840, Stdev: 0.31820, md: 10, nest: 10000, lr: 0.01
Mean score: 0.75215, Stdev: 0.31388, md: 10, nest: 10000, lr: 0.05
Mean score: 0.74647, Stdev: 0.30963, md: 10, nest: 10000, lr: 0.1
Mean score: 0.74313, Stdev: 0.30476, md: 10, nest: 10000, lr: 0.5
Mean score: 0.74226, Stdev: 0.29968, md: 10, nest: 10000, lr: 0.8
Mean score: 0.77620, Stdev: 0.34854, md: 12, nest: 100, lr: 0.001
Mean score: 0.78099, Stdev: 0.34409, md: 12, nest: 100, lr: 0.01
Mean score: 0.77536, Stdev: 0.34033, md: 12, nest: 100, lr: 0.05
Mean score: 0.77012, Stdev: 0.33664, md: 12, nest: 100, lr: 0.1
Mean score: 0.76684, Stdev: 0.33235, md: 12, nest: 100, lr: 0.5
Mean score: 0.76558, Stdev: 0.32779, md: 12, nest: 100, lr: 0.8
Mean score: 0.78941, Stdev: 0.35354, md: 12, nest: 200, lr: 0.001
Mean score: 0.78602, Stdev: 0.34946, md: 12, nest: 200, lr: 0.01
Mean score: 0.78111, Stdev: 0.34628, md: 12, nest: 200, lr: 0.05
Mean score: 0.77656, Stdev: 0.34311, md: 12, nest: 200, lr: 0.1
Mean score: 0.77360, Stdev: 0.33942, md: 12, nest: 200, lr: 0.5
Mean score: 0.77235, Stdev: 0.33545, md: 12, nest: 200, lr: 0.8
Mean score: 0.78452, Stdev: 0.34078, md: 12, nest: 500, lr: 0.001
Mean score: 0.78019, Stdev: 0.33808, md: 12, nest: 500, lr: 0.01
Mean score: 0.77611, Stdev: 0.33540, md: 12, nest: 500, lr: 0.05
Mean score: 0.77229, Stdev: 0.33272, md: 12, nest: 500, lr: 0.1
Mean score: 0.76980, Stdev: 0.32960, md: 12, nest: 500, lr: 0.5
Mean score: 0.76879, Stdev: 0.32622, md: 12, nest: 500, lr: 0.8
Mean score: 0.77212, Stdev: 0.32370, md: 12, nest: 1000, lr: 0.001
Mean score: 0.76854, Stdev: 0.32143, md: 12, nest: 1000, lr: 0.01
Mean score: 0.76518, Stdev: 0.31915, md: 12, nest: 1000, lr: 0.05
Mean score: 0.76201, Stdev: 0.31687, md: 12, nest: 1000, lr: 0.1
Mean score: 0.76000, Stdev: 0.31421, md: 12, nest: 1000, lr: 0.5
Mean score: 0.75928, Stdev: 0.31133, md: 12, nest: 1000, lr: 0.8
Mean score: 0.75625, Stdev: 0.30929, md: 12, nest: 10000, lr: 0.001
Mean score: 0.75339, Stdev: 0.30725, md: 12, nest: 10000, lr: 0.01
Mean score: 0.75066, Stdev: 0.30523, md: 12, nest: 10000, lr: 0.05
Mean score: 0.74807, Stdev: 0.30323, md: 12, nest: 10000, lr: 0.1
Mean score: 0.74649, Stdev: 0.30088, md: 12, nest: 10000, lr: 0.5
Mean score: 0.74607, Stdev: 0.29838, md: 12, nest: 10000, lr: 0.8
Mean score: 0.76327, Stdev: 0.32453, md: 14, nest: 100, lr: 0.001
Mean score: 0.76610, Stdev: 0.32266, md: 14, nest: 100, lr: 0.01
Mean score: 0.76357, Stdev: 0.32070, md: 14, nest: 100, lr: 0.05
Mean score: 0.76114, Stdev: 0.31878, md: 14, nest: 100, lr: 0.1
Mean score: 0.75963, Stdev: 0.31655, md: 14, nest: 100, lr: 0.5
Mean score: 0.75913, Stdev: 0.31417, md: 14, nest: 100, lr: 0.8
Mean score: 0.77241, Stdev: 0.32995, md: 14, nest: 200, lr: 0.001
Mean score: 0.77094, Stdev: 0.32773, md: 14, nest: 200, lr: 0.01
Mean score: 0.76855, Stdev: 0.32595, md: 14, nest: 200, lr: 0.05
Mean score: 0.76626, Stdev: 0.32417, md: 14, nest: 200, lr: 0.1
Mean score: 0.76481, Stdev: 0.32211, md: 14, nest: 200, lr: 0.5
Mean score: 0.76428, Stdev: 0.31990, md: 14, nest: 200, lr: 0.8
Mean score: 0.77160, Stdev: 0.32373, md: 14, nest: 500, lr: 0.001
Mean score: 0.76936, Stdev: 0.32210, md: 14, nest: 500, lr: 0.01
Mean score: 0.76719, Stdev: 0.32050, md: 14, nest: 500, lr: 0.05
Mean score: 0.76510, Stdev: 0.31890, md: 14, nest: 500, lr: 0.1
Mean score: 0.76378, Stdev: 0.31703, md: 14, nest: 500, lr: 0.5
Mean score: 0.76330, Stdev: 0.31502, md: 14, nest: 500, lr: 0.8
Mean score: 0.76554, Stdev: 0.31365, md: 14, nest: 1000, lr: 0.001
Mean score: 0.76353, Stdev: 0.31220, md: 14, nest: 1000, lr: 0.01
Mean score: 0.76159, Stdev: 0.31075, md: 14, nest: 1000, lr: 0.05
Mean score: 0.75972, Stdev: 0.30931, md: 14, nest: 1000, lr: 0.1
Mean score: 0.75856, Stdev: 0.30762, md: 14, nest: 1000, lr: 0.5
Mean score: 0.75817, Stdev: 0.30581, md: 14, nest: 1000, lr: 0.8
